NodeID,AcclX,AcclY,AcclZ,Temperature,TemperatureStatus,ActivityMagnitude,ActivityStatus,HealthStatus
1,-1.42,-0.25,9.84,28.56,Normal,9.945074157591787,Normal,Healthy Cow
2,-2.12,1.52,9.93,30.07,Normal,10.266922615857197,High,Healthy Cow
1,-1.44,-0.28,9.84,28.59,Normal,9.948748665033206,Normal,Healthy Cow
2,-2.22,1.38,9.72,30.19,Normal,10.065346491800469,High,Healthy Cow
1,-1.44,-0.24,9.85,28.59,Normal,9.957595091185421,Normal,Healthy Cow
2,-2.09,1.69,9.74,30.24,Normal,10.104048693469366,High,Healthy Cow
1,-1.38,-0.2,9.82,28.6,Normal,9.918507952308149,Normal,Healthy Cow
1,-1.44,-0.26,9.86,28.59,Normal,9.96798876403861,Normal,Healthy Cow
2,-1.68,2.11,9.83,30.4,Normal,10.193301722209542,High,Healthy Cow
1,-1.43,-0.26,9.86,28.59,Normal,9.9665490517029,Normal,Healthy Cow
2,-1.88,1.95,9.8,30.41,Normal,10.167443139747574,High,Healthy Cow
1,-1.43,-0.25,9.86,28.64,Normal,9.966293192556599,Normal,Healthy Cow
2,-1.83,1.98,9.77,30.31,Normal,10.135196100717538,High,Healthy Cow
1,-1.45,-0.24,9.84,28.64,Normal,9.949155743076897,Normal,Healthy Cow
2,-1.94,1.82,9.81,30.24,Normal,10.164255998350297,High,Healthy Cow
1,-1.44,-0.24,9.85,28.67,Normal,9.957595091185421,Normal,Healthy Cow
2,-2.0,1.92,9.76,30.19,Normal,10.146132268012279,High,Healthy Cow
1,-1.4,-0.26,9.84,28.65,Normal,9.942494656775029,Normal,Healthy Cow
2,-2.16,2.08,9.42,30.11,Normal,9.885767547337942,Normal,Healthy Cow
1,-1.46,-0.25,9.86,28.68,Normal,9.970641905113231,Normal,Healthy Cow
2,-2.13,1.84,9.91,30.04,Normal,10.301970685262116,High,Healthy Cow
1,-3.5,0.95,9.11,28.69,Normal,9.805335282385808,Normal,Healthy Cow
2,-1.7,1.72,9.91,30.03,Normal,10.200808791463547,High,Healthy Cow
1,-1.0,-0.59,9.91,28.7,Normal,9.977785325411647,Normal,Healthy Cow
2,-2.04,1.47,9.62,29.98,Normal,9.943183594805035,Normal,Healthy Cow
1,-1.02,-0.59,9.91,28.73,Normal,9.97980961742257,Normal,Healthy Cow
2,1.26,-0.28,9.86,29.72,Normal,9.944123893033513,Normal,Healthy Cow
1,-0.98,-0.55,9.88,28.75,Normal,9.943706552387798,Normal,Healthy Cow
2,0.72,-0.67,10.16,29.54,Normal,10.207492346311115,High,Healthy Cow
1,-0.99,-0.54,9.9,28.76,Normal,9.964020272962115,Normal,Healthy Cow
2,1.34,-2.08,9.85,29.48,Normal,10.15600807404169,High,Healthy Cow
1,-1.02,-0.59,9.92,28.76,Normal,9.989739736349492,Normal,Healthy Cow
2,1.05,-1.03,9.81,29.46,Normal,9.919652211645326,Normal,Healthy Cow
1,-1.01,-0.59,9.9,28.8,Normal,9.968861519752394,Normal,Healthy Cow
2,1.19,-0.64,10.37,29.38,Normal,10.457657481482169,High,Healthy Cow
1,-1.0,-0.59,9.88,28.81,Normal,9.947989746677468,Normal,Healthy Cow
2,0.55,-0.52,10.33,29.31,Normal,10.357692793281716,High,Healthy Cow
