NodeID,AcclX,AcclY,AcclZ,Temperature
2,2.07,0.28,10.02,24.33
1,-0.81,-0.58,9.9,24.19
2,2.06,0.28,10.05,24.35
1,-0.79,-0.56,9.86,24.17
2,2.04,0.3,10.03,24.37
1,-0.81,-0.58,9.85,24.16
2,2.06,0.3,10.04,24.39
1,-0.79,-0.59,9.88,24.15
2,2.07,0.27,10.03,24.43
1,-0.83,-0.59,9.86,24.14
2,1.11,-1.31,9.93,24.5
1,-0.8,-0.59,9.87,24.15
2,0.02,-0.22,10.64,24.66
1,-3.1,0.29,10.41,24.16
2,1.2,-0.53,9.28,24.87
1,-2.11,-0.37,9.7,24.22
2,3.9,0.74,9.44,25.12
1,-0.77,4.66,8.68,24.23
2,1.66,-2.27,9.57,25.37
1,-2.85,5.05,7.87,24.28
2,-0.76,-0.93,10.1,25.57
1,-3.33,4.85,7.76,24.35
2,-1.4,-0.3,10.12,25.77
1,-3.65,4.62,7.59,24.42
2,-0.36,-0.3,10.13,25.94
1,-4.39,5.14,6.86,24.47
2,-0.13,-0.32,11.73,26.07
1,-4.6,5.12,6.84,24.49
2,1.3,0.39,10.05,26.21
1,-4.6,5,6.79,24.56
2,-0.45,0.92,10.72,26.34
1,-4.67,5.02,6.77,24.57
2,1.89,-1.02,11.19,26.42
1,-4.8,5.19,6.46,24.62
2,3.1,0.33,10.03,26.55
1,-5.01,4.79,6.79,24.65
2,1.22,1.79,10.81,26.67
1,2.06,5.47,7.93,24.68
2,1.72,1.36,10.21,26.82
1,-1.61,0.99,7.51,24.69
2,1.73,0.71,9.88,27.02
1,-2.15,1.05,9.61,24.71
2,1.51,0.22,10.21,27.2
1,-0.57,1.63,10.23,24.72
2,1.74,-0.13,9.82,27.3
1,-0.18,1.44,10.95,24.72
2,0.65,1.64,10.83,27.39
1,-2.02,0.53,11.68,24.69
2,-0.27,0.09,10.53,27.46
1,-0.48,-0.84,11.48,24.67
2,2.18,0.84,9.88,27.53
1,-0.36,1.34,9.84,24.65
2,0.13,0.87,9.62,27.54
1,0.8,1.39,10.18,24.67
2,2.44,1.93,9.99,27.66
1,1.28,0.71,9.17,24.64
2,0.99,1.39,10.82,27.74
1,-2.84,1.27,9.34,24.61
2,2.24,0.6,10.28,27.75
1,-0.22,-1.3,10.63,24.6
2,2.52,0.52,9.83,27.83
1,0.31,-0.71,10.73,24.6
2,2.03,0.45,10.04,27.9
1,1.75,1.77,10.18,24.58
2,1.72,0.71,10.03,28.03
1,0.43,1.47,10.14,24.59
2,1.91,1.21,10.14,28.12
1,0.95,1.54,9.82,24.61
2,2.39,-0.08,10.03,28.21
1,1.83,2.12,9.24,24.58
2,2.33,-0.41,10,28.29
1,1.37,2.6,9.48,24.63
2,2.53,-0.27,10.05,28.4
1,0.07,2.81,9.48,24.64
2,2.66,0.26,10.02,28.5
1,1.3,1.12,10.4,24.67
2,1.83,0.02,9.72,28.56
1,-0.57,3.59,9.41,24.67
2,1.25,-0.97,10.21,28.59
1,0.49,1.81,9.74,24.63
2,1.52,-1.69,9.85,28.6
1,-1.59,5.12,8.55,24.67
2,-1.67,-4.93,9.27,28.52
1,-1.36,8.16,5.46,25.66
2,-2.06,-2.11,8.97,28.41
1,-4.38,2.07,12.01,26.15
